Title,Release Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,URL,type
Twisters,2024,"['Mystery & Thriller', ' Action & Adventure']",6.6,2h 3min,UA,United States,['Apple TV'],https://www.justwatch.com/in/movie/twisters,movie
Exhuma,2024,"['Mystery & Thriller', ' Horror', ' Drama']",6.9,2h 14min,UA,South Korea,['Amazon Prime Video'],https://www.justwatch.com/in/movie/exhuma,movie
Chandu Champion,2024,"['History', ' Sport', ' War & Military', ' Action & Adventure', ' Drama']",7.9,2h 22min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/chandu-champion,movie
Harry Potter and the Philosopher's Stone,2001,"['Action & Adventure', ' Fantasy', ' Kids & Family']",7.6,2h 32min,U,"United States, United Kingdom",['Apple TV'],https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,movie
Berlin,2023,"['Mystery & Thriller', ' Drama']",7.0,2h 5min,U,India,['Zee5'],https://www.justwatch.com/in/movie/berlin-2023,movie
Rathnam,2024,"['Action & Adventure', ' Romance']",5.4,2h 39min,U,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/rathnam,movie
Vedaa,2024,"['Mystery & Thriller', ' Action & Adventure', ' Drama']",6.6,2h 30min,UA,India,['Bookmyshow'],https://www.justwatch.com/in/movie/vedaa,movie
Alien: Romulus,2024,"['Horror', ' Science-Fiction', ' Action & Adventure', ' Mystery & Thriller']",7.4,1h 59min,A,United States,['Apple TV+'],https://www.justwatch.com/in/movie/alien-romulus,movie
Aattam,2024,"['Mystery & Thriller', ' Drama']",8.2,2h 19min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/aattam,movie
The Goat Life,2024,['Drama'],7.1,2h 0min,UA,"India, United States",['Netflix'],https://www.justwatch.com/in/movie/aadujeevitham,movie
Oppenheimer,2023,"['History', ' Drama']",8.3,3h 0min,UA,"United States, United Kingdom",['Apple TV'],https://www.justwatch.com/in/movie/oppenheimer,movie
Bibi Rajni,2024,"['Kids & Family', ' History', ' Drama']",8.6,2h 23min,U,India,['Apple TV+'],https://www.justwatch.com/in/movie/rajni-2024,movie
What You Wish For,2023,['Mystery & Thriller'],6.7,1h 42min,U,"Colombia, United States",['Amazon Prime Video'],https://www.justwatch.com/in/movie/what-you-wish-for,movie
Welcome Home,2020,"['Mystery & Thriller', ' Crime', ' Drama', ' Horror']",7.4,2h 5min,A,India,['Apple TV+'],https://www.justwatch.com/in/movie/welcome-home,movie
Animal,2023,"['Drama', ' Mystery & Thriller', ' Action & Adventure', ' Crime']",6.1,3h 24min,A,India,['Netflix'],https://www.justwatch.com/in/movie/animal-2022,movie
His Three Daughters,2024,"['Drama', ' Comedy']",7.2,1h 41min,A,United States,['Netflix'],https://www.justwatch.com/in/movie/his-three-daughters,movie
"The Gangster, the Cop, the Devil",2019,"['Mystery & Thriller', ' Crime', ' Action & Adventure']",7.0,1h 49min,A,South Korea,['Apple TV+'],https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil,movie
Mangalavaaram,2023,"['Action & Adventure', ' Horror', ' Mystery & Thriller']",6.7,2h 29min,A,India,['VI movies and tv'],https://www.justwatch.com/in/movie/mangalavaram,movie
CTRL,2024,"['Mystery & Thriller', ' Drama']",6.4,1h 39min,A,India,['Netflix'],https://www.justwatch.com/in/movie/ctrl-2024,movie
96,2018,"['Romance', ' Drama']",8.5,2h 39min,U,India,['Sony Liv'],https://www.justwatch.com/in/movie/96,movie
Land of Bad,2024,"['Action & Adventure', ' War & Military', ' Mystery & Thriller']",6.6,1h 53min,A,"Czech Republic, United States, Australia",['Amazon Prime Video'],https://www.justwatch.com/in/movie/land-of-bad,movie
Kalinga,2024,['Horror'],9.1,1h 56min,A,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/kalinga-2024,movie
Veer-Zaara,2004,"['Drama', ' Romance', ' Kids & Family']",7.8,3h 12min,U,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/veer-zaara,movie
Geostorm,2017,"['Mystery & Thriller', ' Action & Adventure', ' Science-Fiction']",5.3,1h 50min,U,"United States, Canada, Hong Kong",['Apple TV'],https://www.justwatch.com/in/movie/geostorm,movie
American Psycho,2000,"['Drama', ' Crime', ' Mystery & Thriller', ' Horror']",7.6,1h 42min,A,"United States, Canada",['Amazon Prime Video'],https://www.justwatch.com/in/movie/american-psycho,movie
Subservience,2024,"['Science-Fiction', ' Mystery & Thriller', ' Horror']",5.1,1h 46min,A,United States,['Apple TV+'],https://www.justwatch.com/in/movie/subservience,movie
Maharshi,2019,"['Drama', ' Action & Adventure']",7.2,2h 56min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/maharshi,movie
Evil Dead Rise,2023,"['Horror', ' Mystery & Thriller']",6.5,1h 36min,A,"New Zealand, United States, Ireland",['Apple TV'],https://www.justwatch.com/in/movie/evil-dead-rise,movie
Taken,2008,"['Action & Adventure', ' Mystery & Thriller', ' Crime']",7.7,1h 35min,A,"France, United States",['Lionsgate Play'],https://www.justwatch.com/in/movie/taken,movie
Kill Bill: Vol. 1,2003,"['Action & Adventure', ' Crime', ' Mystery & Thriller']",8.2,1h 51min,A,United States,['Amazon Prime Video'],https://www.justwatch.com/in/movie/kill-bill-vol-1,movie
Three Thousand Years of Longing,2022,"['Romance', ' Drama', ' Fantasy']",6.7,1h 48min,A,"China, United Kingdom, Australia",['Amazon Prime Video'],https://www.justwatch.com/in/movie/three-thousand-years-of-longing,movie
Hanu-Man,2024,"['Fantasy', ' Action & Adventure', ' Comedy', ' Science-Fiction']",7.8,2h 39min,UA,India,['Jio Cinema'],https://www.justwatch.com/in/movie/hanu-man,movie
Trap,2024,"['Crime', ' Horror', ' Mystery & Thriller']",6.0,1h 45min,UA,United States,['Apple TV'],https://www.justwatch.com/in/movie/trap-2024,movie
Adbhut,2024,"['Mystery & Thriller', ' Drama']",5.3,2h 0min,UA,India,['Apple TV+'],https://www.justwatch.com/in/movie/adbhut,movie
Ruslaan,2024,"['Action & Adventure', ' Mystery & Thriller']",3.4,2h 20min,UA,India,['Jio Cinema'],https://www.justwatch.com/in/movie/ruslaan,movie
Bhimaa,2024,"['Fantasy', ' Action & Adventure']",5.2,2h 21min,UA,India,['VI movies and tv'],https://www.justwatch.com/in/movie/bhimaa,movie
The Substance,2024,"['Science-Fiction', ' Horror', ' Comedy', ' Drama']",7.9,2h 21min,UA,"United Kingdom, United States, France",['Apple TV+'],https://www.justwatch.com/in/movie/the-substance,movie
A Quiet Place: Day One,2024,"['Horror', ' Science-Fiction', ' Mystery & Thriller', ' Drama']",6.3,1h 39min,UA,"United Kingdom, Canada, United States",['Apple TV'],https://www.justwatch.com/in/movie/a-quiet-place-day-one,movie
Rockstar,2011,"['Music & Musical', ' Romance', ' Drama']",7.8,2h 39min,UA,India,['Apple TV'],https://www.justwatch.com/in/movie/rockstar,movie
John Wick,2014,"['Action & Adventure', ' Mystery & Thriller', ' Crime']",7.4,1h 41min,UA,United States,['Apple TV'],https://www.justwatch.com/in/movie/john-wick,movie
